場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST
18,8,5,6.92,0.0,52.0kg,1,6.31,33.33,47.22,8.5,78.57,85.71,73,36.73,48.98,38,38.89,50.62,3779,A1,原田,幸哉  長崎,愛知,50,52.0,1.0,0,0.12
18,8,6,6.97,0.0,52.7kg,6,1.42,0.0,0.0,0.0,0.0,0.0,71,38.18,50.91,37,35.0,52.5,5468,B2,山口,隼人  福岡,熊本,19,52.7,,,
18,9,1,6.95,0.0,52.0kg,3,5.86,36.94,64.86,5.55,27.27,54.55,70,18.75,35.42,47,34.38,58.13,4413,A2,水摩,敦  福岡,福岡,40,52.0,0.0,0,0.18
18,9,2,7.01,0.0,52.0kg,1,4.53,30.68,42.05,4.8,28.57,44.64,19,58.0,70.0,73,39.13,54.66,3901,B2,松田,憲幸  山口,山口,49,52.0,0.0,0,0.22
18,9,3,6.93,0.0,52.4kg,2,5.53,37.5,58.33,5.59,37.93,58.62,64,42.59,59.26,51,31.65,46.2,4603,B1,谷川,将太  長崎,長崎,38,52.4,0.0,0,0.16
18,9,4,6.92,0.0,52.4kg,6,5.0,35.16,46.15,5.5,33.33,66.67,26,40.0,46.0,27,30.43,45.96,3743,A1,林,美憲  徳島,徳島,51,52.4,0.0,0,0.15
18,9,5,7.11,-0.5,52.0kg,5,3.44,10.29,25.0,3.33,11.11,33.33,31,37.5,64.58,28,27.04,50.94,3293,B1,宮内,由紀英  東京,東京,60,52.0,0.0,0,0.20
18,9,6,6.99,0.5,52.4kg,4,5.57,30.69,59.41,6.67,55.56,66.67,32,24.53,41.51,43,29.56,43.4,4210,A2,松村,康太  福井,福井,43,52.4,0.0,0,0.17
18,10,1,6.88,0.0,52.1kg,2,4.92,31.31,42.42,0.0,0.0,0.0,35,35.19,50.0,12,35.44,49.37,4619,B1,伏田,裕隆  東京,千葉,43,52.1,0.0,0,0.17
18,10,2,6.88,0.0,52.0kg,1,7.14,53.19,67.02,6.38,43.06,56.94,11,29.63,51.85,19,34.38,46.25,4361,A1,柳生,泰二  山口,山口,41,52.0,0.0,0,0.14
18,10,3,6.91,0.0,52.0kg,5,4.0,9.43,37.74,3.74,21.05,42.11,65,21.95,31.71,50,39.38,60.63,3809,B1,吉田,光  佐賀,佐賀,51,52.0,0.0,0,0.19
18,10,4,6.95,0.0,52.1kg,6,4.51,26.47,39.71,4.0,23.08,34.62,22,31.91,48.94,23,35.67,63.06,3361,B1,岡部,浩  徳島,徳島,57,52.1,0.0,0,0.19
18,10,5,6.97,0.0,52.1kg,4,5.25,33.7,47.83,4.29,14.29,57.14,41,35.71,62.5,24,35.63,49.38,3843,B1,上之,晃弘  長崎,長崎,49,52.1,0.0,0,0.16
18,10,6,6.93,0.0,52.0kg,3,6.24,41.77,65.82,0.0,0.0,0.0,68,54.0,66.0,13,40.88,58.49,4549,A2,小林,文彦  福岡,福岡,37,52.0,0.0,0,0.19
18,11,1,6.93,0.0,55.2kg,1,4.2,30.0,35.0,6.1,60.0,70.0,74,44.0,56.0,14,36.25,54.38,4753,B2,森,照夫  福岡,福岡,37,55.2,0.0,0,0.14
18,11,2,7.01,0.0,52.8kg,4,6.44,45.38,60.5,6.39,46.43,64.29,20,38.64,47.73,44,37.89,58.39,3744,A1,徳増,秀樹  静岡,静岡,51,52.8,0.0,0,0.14
18,11,3,6.9,0.0,55.5kg,3,5.46,33.33,55.56,4.0,25.0,32.14,30,36.21,51.72,56,26.71,40.37,4957,B1,竹之内,極  福岡,鹿児島,31,55.5,0.0,0,0.17
18,11,4,6.89,0.0,54.0kg,2,5.57,43.04,53.16,5.29,35.71,50.0,13,38.78,55.1,41,36.65,56.52,4695,A2,尾崎,雄二  長崎,長崎,40,54.0,0.0,0,0.15
18,11,5,6.93,0.0,52.0kg,6,3.34,6.1,20.73,2.13,0.0,6.67,38,29.41,37.25,68,46.84,62.03,2538,B1,高橋,二朗  東京,千葉,77,52.0,0.0,0,0.21
