場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST
21,1,1,6.82,0.0,56.3kg,1,6.36,42.86,66.67,6.16,41.86,58.14,38,24.53,41.51,123,19.61,33.33,4287,A2,今井,貴士  福岡,福岡,41,56.3,0.0,0,0.17
21,1,2,6.85,0.0,52.5kg,4,4.03,21.79,33.33,4.18,27.27,36.36,53,31.48,40.74,130,26.92,48.08,3471,B1,赤峰,和也  佐賀,佐賀,56,52.5,0.0,0,0.17
21,1,3,6.73,-0.5,52.0kg,3,3.64,18.39,26.44,3.33,16.67,27.78,35,55.36,73.21,134,32.08,45.28,4196,B1,田中,太一郎  佐賀,佐賀,44,52.0,0.0,0,0.17
21,1,4,6.85,0.0,52.5kg,5,1.81,1.49,7.46,1.07,0.0,0.0,34,31.48,57.41,147,23.91,30.43,5426,B2,甲斐,貴大  福岡,福岡,24,52.5,0.0,0,0.20
21,1,5,6.83,-0.5,52.3kg,2,4.87,25.64,51.28,4.33,21.21,39.39,29,42.31,53.85,151,31.91,46.81,4976,B1,金山,立樹  東京,神奈川,32,52.3,0.0,0,0.20
21,1,6,6.84,0.0,56.9kg,6,4.39,19.51,37.8,3.4,8.0,24.0,47,40.38,63.46,115,32.69,44.23,3752,B1,宇土,泰就  福岡,福岡,55,56.9,0.0,0,0.17
21,2,1,6.83,0.0,51.0kg,1,5.61,40.0,58.0,7.11,50.0,77.78,37,35.71,55.36,126,36.36,49.09,3385,A2,渡邉,睦広  東京,神奈川,57,51.0,0.0,0,0.16
21,2,2,6.83,0.0,52.1kg,5,5.19,36.36,49.35,4.52,17.91,44.78,24,24.07,35.19,111,16.95,33.9,4094,B1,中島,真二  福岡,福岡,45,52.1,0.0,0,0.18
21,2,3,6.78,0.0,52.6kg,3,3.73,12.24,34.69,4.61,28.57,42.86,21,42.0,60.0,129,29.55,40.91,4919,B1,吉田,翔悟  長崎,長崎,35,52.6,1.0,0,0.18
21,2,4,6.74,0.0,54.0kg,2,6.23,39.13,63.48,6.12,34.62,73.08,41,42.86,58.93,137,29.31,53.45,4958,A1,溝口,海義也  福岡,福岡,31,54.0,0.0,0,0.13
21,2,5,6.84,0.0,53.2kg,6,4.85,30.38,45.57,4.58,31.58,42.11,42,22.64,37.74,116,34.48,50.0,4031,B1,飯島,誠  埼玉,埼玉,47,53.2,0.0,0,0.17
21,2,6,6.86,-0.5,52.0kg,4,1.92,0.0,7.84,1.38,0.0,0.0,16,18.87,24.53,166,38.3,48.94,5420,B2,吉原,快誓  長崎,長崎,20,52.0,0.0,0,0.17
21,3,1,6.81,-0.5,52.4kg,5,6.15,45.33,62.67,6.46,51.47,66.18,54,34.55,56.36,140,32.0,42.0,3265,A2,今村,暢孝  福岡,福岡,61,52.4,1.0,0,0.15
21,3,2,6.77,0.0,55.3kg,4,3.87,15.71,32.86,3.67,16.67,16.67,22,44.23,61.54,165,31.11,48.89,4129,B1,宇野,博之  愛知,愛知,46,55.3,0.0,0,0.18
21,3,3,6.76,0.0,52.2kg,6,6.85,57.5,72.5,7.48,66.67,80.95,50,29.09,45.45,168,24.53,41.51,4514,A1,上條,嘉嗣  大阪,大阪,36,52.2,0.0,0,0.19
21,3,4,6.78,0.0,52.0kg,1,4.76,30.56,45.83,1.9,0.0,10.0,52,30.77,51.92,114,44.64,69.64,5348,B1,小林,甘寧  広島,広島,22,52.0,0.0,0,0.16
21,3,5,6.88,0.0,53.9kg,2,5.75,36.84,60.0,0.0,0.0,0.0,60,39.58,47.92,135,41.67,64.58,3963,A2,原田,秀弥  大阪,奈良,47,53.9,0.0,0,0.17
21,3,6,6.85,0.0,52.2kg,3,5.16,27.63,50.0,3.93,16.67,36.67,25,12.5,27.08,153,50.94,64.15,3478,B1,嶋田,貴支  香川,香川,55,52.2,0.0,0,0.17
21,4,1,6.77,0.0,53.6kg,2,6.51,45.45,60.23,6.78,45.1,58.82,7,32.14,64.29,125,29.79,51.06,4504,A1,前田,将太  福岡,福岡,38,53.6,0.0,0,0.15
21,4,2,6.76,0.0,57.0kg,5,3.4,13.85,26.15,4.54,20.83,41.67,59,28.85,42.31,148,19.67,31.15,4104,B1,木下,陽介  東京,東京,46,57.0,0.0,0,0.15
21,4,3,6.73,0.0,54.2kg,1,4.02,16.05,37.04,2.67,11.11,22.22,3,43.4,62.26,161,34.78,54.35,5292,B1,佐藤,右京  東京,宮城,24,54.2,0.0,0,0.23
21,4,4,6.87,-0.5,51.5kg,4,6.07,41.67,59.26,5.16,26.32,52.63,11,44.64,69.64,117,32.61,45.65,4171,A2,榎,幸司  長崎,長崎,43,51.5,0.0,0,0.19
21,4,5,6.82,-0.5,52.2kg,3,6.97,54.35,73.91,6.92,54.17,75.0,45,31.58,54.39,167,32.08,52.83,4614,A1,石倉,洋行  福岡,福岡,46,52.2,1.0,0,0.13
21,4,6,6.88,0.0,55.5kg,6,2.56,6.25,15.63,0.0,0.0,0.0,58,25.0,46.15,113,44.64,64.29,5385,B1,鈴木,柊介  静岡,静岡,21,55.5,0.0,0,0.14
21,5,1,6.69,0.0,52.0kg,1,6.91,55.26,67.54,5.32,36.84,47.37,56,39.22,54.9,112,42.31,46.15,4278,A1,藤岡,俊介  兵庫,兵庫,42,52.0,0.0,0,0.13
21,5,2,6.81,-0.5,52.7kg,4,3.36,18.39,24.14,4.39,22.22,38.89,33,40.0,65.45,159,55.32,76.6,4705,B1,吉川,勇作  長崎,長崎,37,52.7,0.0,0,0.15
21,5,3,6.82,0.0,53.5kg,5,6.21,41.24,65.98,7.0,44.44,88.89,39,42.86,58.93,128,11.32,26.42,4066,A2,東本,勝利  三重,三重,46,53.5,0.0,0,0.18
21,5,4,6.86,0.0,54.0kg,6,4.04,18.18,30.91,3.18,0.0,29.41,9,28.57,44.9,150,27.42,46.77,3630,B1,黒田,誠司  静岡,静岡,56,54.0,0.0,0,0.17
21,5,5,6.75,-0.5,52.0kg,3,3.64,18.39,26.44,3.33,16.67,27.78,35,55.36,73.21,134,32.08,45.28,4196,B1,田中,太一郎  佐賀,佐賀,44,52.0,0.0,0,0.17
21,5,6,6.78,0.0,52.0kg,2,6.59,46.3,58.33,7.5,50.0,87.5,32,45.61,52.63,154,35.09,57.89,4427,A1,秦,英悟  大阪,大阪,40,52.0,0.0,0,0.14
21,6,1,6.79,-0.5,52.3kg,1,4.87,25.64,51.28,4.33,21.21,39.39,29,42.31,53.85,151,31.91,46.81,4976,B1,金山,立樹  東京,神奈川,32,52.3,0.0,0,0.20
21,6,2,6.8,-0.5,54.3kg,2,5.38,40.91,52.27,5.66,40.63,65.63,44,25.0,30.77,121,26.92,44.23,5210,A2,藤井,公人  福岡,福岡,27,54.3,0.0,0,0.15
21,6,3,6.82,0.0,52.1kg,6,5.19,36.36,49.35,4.52,17.91,44.78,24,24.07,35.19,111,16.95,33.9,4094,B1,中島,真二  福岡,福岡,45,52.1,0.0,0,0.18
21,6,4,6.75,0.0,52.0kg,3,6.35,44.93,60.14,4.77,26.92,46.15,15,34.48,48.28,157,36.21,53.45,5257,A1,西丸,侑太朗  香川,香川,22,52.0,0.0,0,0.16
21,6,5,6.81,0.0,52.8kg,5,3.66,12.64,29.89,4.88,25.0,56.25,19,26.09,43.48,169,26.67,55.56,4181,B1,花本,夏樹  三重,三重,42,52.8,0.0,0,0.21
21,6,6,6.76,0.0,52.0kg,4,4.96,29.33,45.33,4.04,13.04,39.13,27,27.78,38.89,143,40.35,49.12,4004,B1,山本,浩輔  長崎,長崎,48,52.0,0.0,0,0.18
21,7,1,6.79,-0.5,54.4kg,5,3.91,19.12,27.94,3.94,18.87,30.19,13,54.39,71.93,158,33.33,50.0,4368,B1,山口,隆史  福岡,福岡,40,54.4,0.0,0,0.20
21,7,2,6.8,0.0,53.2kg,2,4.85,30.38,45.57,4.58,31.58,42.11,42,22.64,37.74,116,34.48,50.0,4031,B1,飯島,誠  埼玉,埼玉,47,53.2,0.0,0,0.17
21,7,3,6.88,0.0,52.5kg,4,4.03,21.79,33.33,4.18,27.27,36.36,53,31.48,40.74,130,26.92,48.08,3471,B1,赤峰,和也  佐賀,佐賀,56,52.5,0.0,0,0.17
21,7,4,6.84,-0.5,54.2kg,6,3.93,18.0,29.0,3.71,11.76,17.65,18,30.36,48.21,124,30.61,51.02,3981,B1,今坂,晃広  静岡,静岡,48,54.2,0.0,0,0.18
21,7,5,6.82,0.0,54.9kg,1,3.87,15.71,32.86,3.67,16.67,16.67,22,44.23,61.54,165,31.11,48.89,4129,B1,宇野,博之  愛知,愛知,46,54.9,0.0,0,0.18
21,7,6,6.7,1.0,53.9kg,3,1.78,2.0,8.0,1.61,0.0,5.56,8,48.15,66.67,132,32.08,50.94,5404,B1,内田,壮  山口,山口,22,53.9,0.0,0,0.20
21,8,1,6.79,0.0,51.5kg,2,4.92,28.89,46.67,4.21,27.66,31.91,57,39.62,49.06,141,29.63,53.7,4006,B1,小野,勇作  佐賀,佐賀,48,51.5,0.0,0,0.17
21,8,2,6.78,0.5,54.8kg,6,6.26,40.38,58.65,6.45,48.28,68.97,10,35.85,52.83,118,22.64,43.4,4472,A1,尾嶋,一広  兵庫,兵庫,39,54.8,0.0,0,0.16
21,8,3,6.9,-0.5,52.4kg,1,6.15,45.33,62.67,6.46,51.47,66.18,54,34.55,56.36,140,32.0,42.0,3265,A2,今村,暢孝  福岡,福岡,61,52.4,1.0,0,0.15
21,8,4,6.83,0.0,57.0kg,5,3.4,13.85,26.15,4.54,20.83,41.67,59,28.85,42.31,148,19.67,31.15,4104,B1,木下,陽介  東京,東京,46,57.0,0.0,0,0.15
21,8,5,6.89,-0.5,52.0kg,4,1.92,0.0,7.84,1.38,0.0,0.0,16,18.87,24.53,166,38.3,48.94,5420,B2,吉原,快誓  長崎,長崎,20,52.0,0.0,0,0.17
21,8,6,6.83,-0.5,52.0kg,3,5.63,34.15,59.76,4.76,23.53,47.06,4,32.65,53.06,162,40.0,58.18,3054,B1,北川,幸典  広島,広島,63,52.0,0.0,0,0.19
21,9,1,6.76,0.0,54.0kg,1,6.23,39.13,63.48,6.12,34.62,73.08,41,42.86,58.93,137,29.31,53.45,4958,A1,溝口,海義也  福岡,福岡,31,54.0,0.0,0,0.13
21,9,2,6.89,0.0,52.2kg,2,5.16,27.63,50.0,3.93,16.67,36.67,25,12.5,27.08,153,50.94,64.15,3478,B1,嶋田,貴支  香川,香川,55,52.2,0.0,0,0.17
21,9,3,6.85,-0.5,52.7kg,4,3.36,18.39,24.14,4.39,22.22,38.89,33,40.0,65.45,159,55.32,76.6,4705,B1,吉川,勇作  長崎,長崎,37,52.7,0.0,0,0.15
21,9,4,6.89,-0.5,56.0kg,5,3.2,14.08,21.13,0.0,0.0,0.0,14,21.43,35.71,136,43.94,60.61,3867,B1,松浦,勝  愛知,愛知,51,56.0,0.0,0,0.18
21,9,5,6.81,0.0,54.2kg,6,1.07,0.0,0.0,1.21,0.0,0.0,12,46.3,57.41,133,37.93,53.45,5429,B2,吉川,颯汰  佐賀,佐賀,23,54.2,0.0,0,0.22
21,9,6,6.88,0.0,52.0kg,3,6.47,44.44,68.69,6.8,60.0,65.0,36,23.33,41.67,142,22.92,39.58,4144,A2,石塚,久也  埼玉,埼玉,44,52.0,0.0,0,0.18
21,10,1,6.81,0.0,52.0kg,1,6.35,44.93,60.14,4.77,26.92,46.15,15,34.48,48.28,157,36.21,53.45,5257,A1,西丸,侑太朗  香川,香川,22,52.0,0.0,0,0.16
21,10,2,6.91,0.0,53.7kg,5,4.18,16.39,31.15,4.36,21.43,35.71,26,17.39,28.26,127,43.75,60.42,3211,B1,北川,敏弘  佐賀,佐賀,64,53.7,0.0,0,0.18
21,10,3,6.85,0.0,52.0kg,2,6.91,55.26,67.54,5.32,36.84,47.37,56,39.22,54.9,112,42.31,46.15,4278,A1,藤岡,俊介  兵庫,兵庫,42,52.0,0.0,0,0.13
21,10,4,6.85,0.0,54.2kg,4,4.02,16.05,37.04,2.67,11.11,22.22,3,43.4,62.26,161,34.78,54.35,5292,B1,佐藤,右京  東京,宮城,24,54.2,0.0,0,0.23
21,10,5,6.96,0.0,51.0kg,6,5.61,40.0,58.0,7.11,50.0,77.78,37,35.71,55.36,126,36.36,49.09,3385,A2,渡邉,睦広  東京,神奈川,57,51.0,0.0,0,0.16
21,10,6,6.89,0.0,51.5kg,3,5.71,37.33,57.33,4.31,25.0,43.75,5,32.61,45.65,155,40.74,59.26,5106,A2,山崎,祥  山口,山口,27,51.5,0.0,0,0.19
21,11,1,6.87,-0.5,52.2kg,4,6.97,54.35,73.91,6.92,54.17,75.0,45,31.58,54.39,167,32.08,52.83,4614,A1,石倉,洋行  福岡,福岡,46,52.2,1.0,0,0.13
21,11,2,6.92,-0.5,52.0kg,3,6.59,46.3,58.33,7.5,50.0,87.5,32,45.61,52.63,154,35.09,57.89,4427,A1,秦,英悟  大阪,大阪,40,52.0,0.0,0,0.14
21,11,3,6.96,-0.5,56.3kg,1,6.36,42.86,66.67,6.16,41.86,58.14,38,24.53,41.51,123,19.61,33.33,4287,A2,今井,貴士  福岡,福岡,41,56.3,0.0,0,0.17
21,11,4,6.9,0.0,52.6kg,6,3.73,12.24,34.69,4.61,28.57,42.86,21,42.0,60.0,129,29.55,40.91,4919,B1,吉田,翔悟  長崎,長崎,35,52.6,1.0,0,0.18
21,11,5,6.89,0.0,54.4kg,5,3.91,19.12,27.94,3.94,18.87,30.19,13,54.39,71.93,158,33.33,50.0,4368,B1,山口,隆史  福岡,福岡,40,54.4,0.0,0,0.20
21,11,6,6.9,0.0,52.2kg,2,6.85,57.5,72.5,7.48,66.67,80.95,50,29.09,45.45,168,24.53,41.51,4514,A1,上條,嘉嗣  大阪,大阪,36,52.2,0.0,0,0.19
21,12,1,6.86,0.0,54.8kg,1,6.26,40.38,58.65,6.45,48.28,68.97,10,35.85,52.83,118,22.64,43.4,4472,A1,尾嶋,一広  兵庫,兵庫,39,54.8,0.0,0,0.16
21,12,2,6.95,-0.5,54.2kg,6,3.93,18.0,29.0,3.71,11.76,17.65,18,30.36,48.21,124,30.61,51.02,3981,B1,今坂,晃広  静岡,静岡,48,54.2,0.0,0,0.18
21,12,3,6.95,0.0,53.6kg,2,6.51,45.45,60.23,6.78,45.1,58.82,7,32.14,64.29,125,29.79,51.06,4504,A1,前田,将太  福岡,福岡,38,53.6,0.0,0,0.15
21,12,4,6.92,-0.5,54.3kg,4,5.38,40.91,52.27,5.66,40.63,65.63,44,25.0,30.77,121,26.92,44.23,5210,A2,藤井,公人  福岡,福岡,27,54.3,0.0,0,0.15
21,12,5,6.91,0.0,53.5kg,3,6.21,41.24,65.98,7.0,44.44,88.89,39,42.86,58.93,128,11.32,26.42,4066,A2,東本,勝利  三重,三重,46,53.5,0.0,0,0.18
21,12,6,6.86,0.0,52.0kg,5,4.76,30.56,45.83,1.9,0.0,10.0,52,30.77,51.92,114,44.64,69.64,5348,B1,小林,甘寧  広島,広島,22,52.0,0.0,0,0.16
22,1,1,6.96,0.0,55.1kg,1,5.98,43.33,56.67,6.26,42.11,63.16,18,21.15,30.77,126,44.26,50.82,4877,A1,鈴谷,一平  兵庫,兵庫,31,55.1,0.0,0,0.14
22,1,2,6.96,0.0,53.0kg,2,5.38,34.48,52.87,6.02,36.59,70.73,25,41.67,54.76,159,29.03,45.16,4942,B1,柴田,朋哉  福岡,福岡,36,53.0,0.0,0,0.16
22,1,3,7.04,0.0,52.3kg,3,3.66,15.0,30.0,0.0,0.0,0.0,38,28.38,43.24,160,43.33,63.33,3544,B1,豊田,訓靖  静岡,静岡,57,52.3,0.0,0,0.20
22,1,4,6.93,0.0,54.2kg,5,4.49,27.69,41.54,0.0,0.0,0.0,11,37.7,52.46,103,26.15,47.69,5359,B1,佐藤,世那  東京,宮城,20,54.2,1.0,0,0.17
22,1,5,6.98,-0.5,52.0kg,6,1.85,3.85,7.69,0.0,0.0,0.0,19,34.48,55.17,152,30.3,51.52,5453,B2,久保,翔耶  香川,香川,20,52.0,,,
22,1,6,6.99,0.0,52.0kg,4,2.85,6.45,19.35,0.0,0.0,0.0,22,37.97,51.9,172,41.18,58.82,5432,B1,安藤,瑠希  静岡,静岡,21,52.0,0.0,0,0.17
22,2,1,7.04,0.0,53.6kg,3,3.89,17.11,35.53,5.34,27.59,58.62,73,31.25,51.25,119,36.51,58.73,3306,B1,武田,正紀  埼玉,東京,58,53.6,0.0,0,0.16
22,2,2,7.02,0.0,53.3kg,1,4.98,24.1,51.81,4.42,18.42,36.84,20,27.4,43.84,135,33.33,53.33,4574,A2,東,潤樹  広島,愛媛,37,53.3,0.0,0,0.17
22,2,3,7.04,0.0,52.0kg,6,4.02,21.54,33.85,5.55,34.48,51.72,36,29.41,57.35,140,28.13,45.31,4666,B1,日笠,勝弘  大阪,大阪,42,52.0,0.0,0,0.16
22,2,4,6.99,0.0,52.3kg,2,6.51,52.21,65.49,6.25,50.0,65.0,53,25.71,37.14,143,30.77,50.77,3811,A1,石田,章央  静岡,静岡,50,52.3,0.0,0,0.16
22,2,5,6.98,0.0,52.0kg,4,2.19,1.85,11.11,0.0,0.0,0.0,39,50.0,73.33,102,28.99,39.13,5405,B1,竹内,来  愛知,愛知,22,52.0,0.0,0,0.19
22,2,6,7.05,0.0,52.0kg,5,2.22,3.85,10.26,1.33,0.0,0.0,32,24.64,46.38,165,35.0,55.0,5407,B1,中岡,駿  香川,香川,21,52.0,0.0,0,0.19
22,3,1,6.93,0.0,52.7kg,2,4.17,25.76,33.33,3.24,13.16,15.79,51,22.67,38.67,150,29.03,53.23,5033,B1,藤原,孝斗  愛知,愛知,28,52.7,0.0,0,0.18
22,3,2,6.99,-0.5,52.8kg,3,5.41,32.43,54.05,4.49,25.53,36.17,52,35.09,49.12,129,30.3,50.0,4495,B2,森,晋太郎  福岡,福岡,39,52.8,0.0,0,0.14
22,3,3,6.94,0.0,52.0kg,1,6.06,45.98,60.92,5.67,33.33,60.0,43,59.42,81.16,145,48.39,66.13,4191,A1,赤羽,克也  埼玉,埼玉,44,52.0,0.0,0,0.16
22,3,4,6.97,0.0,52.7kg,4,4.81,25.93,48.15,4.07,17.86,35.71,57,37.5,56.25,144,21.88,35.94,4669,B1,井上,茂  福岡,福岡,41,52.7,0.0,0,0.16
22,3,5,6.98,0.0,51.5kg,6,2.92,10.0,20.0,0.0,0.0,0.0,28,41.79,61.19,163,40.35,57.89,5434,B1,藤田,康生  静岡,静岡,21,51.5,0.0,0,0.16
22,3,6,7.04,0.0,53.8kg,5,4.1,19.23,34.62,4.97,28.57,45.71,29,24.71,42.35,153,34.38,54.69,4200,B1,早川,尚人  大阪,大阪,43,53.8,0.0,0,0.19
22,4,2,7.01,0.0,51.5kg,1,5.83,33.33,62.32,4.59,24.14,37.93,58,38.24,51.47,123,46.15,66.15,5023,A2,久永,祥平  東京,神奈川,31,51.5,0.0,0,0.16
22,4,3,6.96,0.0,59.0kg,3,5.04,29.59,52.04,5.2,36.0,52.0,30,44.83,55.17,128,30.16,44.44,4293,B1,鈴木,智啓  愛知,愛知,40,59.0,0.0,0,0.18
22,4,4,6.97,0.0,51.5kg,5,2.18,0.0,3.57,0.0,0.0,0.0,24,22.41,39.66,167,50.0,62.5,5383,B1,中村,楓  三重,三重,21,51.5,0.0,0,0.17
22,4,5,6.95,0.0,52.0kg,2,6.52,47.12,57.69,0.0,0.0,0.0,55,33.33,51.28,136,32.26,54.84,5017,A1,澤田,尚也  滋賀,京都,27,52.0,0.0,0,0.13
22,4,6,7.07,-0.5,54.4kg,4,5.3,30.23,52.33,4.56,44.44,44.44,50,29.49,46.15,107,24.56,45.61,4180,A2,上野,秀和  福岡,福岡,43,54.4,0.0,0,0.17
22,5,1,7.04,-0.5,53.3kg,3,5.49,36.84,56.84,0.0,0.0,0.0,49,37.84,50.0,114,32.31,43.08,5282,B1,中本,大樹  福井,石川,23,53.3,0.0,0,0.17
22,5,2,7.08,0.0,51.5kg,2,6.57,48.05,71.43,0.0,0.0,0.0,44,28.89,44.44,142,11.67,23.33,4470,A2,平田,健之佑  三重,三重,39,51.5,0.0,0,0.15
22,5,3,6.98,0.0,52.8kg,5,3.32,8.33,23.33,0.0,0.0,0.0,75,40.0,64.0,166,28.33,45.0,5379,B1,廣部,大明  滋賀,滋賀,22,52.8,0.0,0,0.20
22,5,4,6.88,0.0,52.0kg,6,2.85,6.45,19.35,0.0,0.0,0.0,22,37.97,51.9,172,41.18,58.82,5432,B1,安藤,瑠希  静岡,静岡,21,52.0,0.0,0,0.17
22,5,5,7.01,0.0,54.3kg,1,6.68,48.0,67.0,5.95,36.36,72.73,62,47.22,72.22,161,37.1,51.61,3556,A1,田中,信一郎  大阪,大阪,53,54.3,0.0,0,0.14
22,5,6,6.95,0.0,52.0kg,4,4.39,23.61,43.06,2.45,4.48,13.43,34,36.05,51.16,148,40.0,65.0,5338,B1,香月,大輝  福岡,福岡,25,52.0,0.0,0,0.16
22,6,1,6.96,0.0,52.0kg,4,4.02,21.54,33.85,5.55,34.48,51.72,36,29.41,57.35,140,28.13,45.31,4666,B1,日笠,勝弘  大阪,大阪,42,52.0,0.0,0,0.16
22,6,2,6.98,-0.5,52.9kg,1,5.91,42.71,60.42,6.07,42.86,57.14,21,38.81,53.73,120,23.19,36.23,4348,A2,宮崎,奨  香川,香川,40,52.9,0.0,0,0.17
22,6,3,6.99,-0.5,50.5kg,5,5.5,36.19,54.29,5.0,30.0,47.5,68,38.89,54.17,118,30.77,52.31,3663,B1,木山,和幸  広島,広島,56,50.5,0.0,0,0.18
22,6,4,6.96,0.0,53.1kg,2,5.38,33.65,48.08,4.17,19.44,36.11,35,26.87,43.28,162,39.68,55.56,3911,B1,鈴木,猛  東京,東京,52,53.1,0.0,0,0.17
22,6,5,6.97,0.0,52.0kg,3,6.54,43.52,57.41,7.1,54.84,67.74,14,41.33,65.33,130,38.46,53.85,4832,A1,権藤,俊光  大阪,大阪,39,52.0,0.0,0,0.14
22,6,6,6.93,-0.5,52.0kg,6,1.85,3.85,7.69,0.0,0.0,0.0,19,34.48,55.17,152,30.3,51.52,5453,B2,久保,翔耶  香川,香川,20,52.0,,,
22,7,1,6.97,0.0,50.5kg,1,5.88,34.62,55.77,6.4,44.0,74.0,67,40.0,64.29,155,27.27,46.97,3978,A2,齊藤,仁  東京,東京,49,50.5,1.0,0,0.16
22,7,2,6.95,0.5,52.0kg,2,6.23,43.37,69.88,5.57,36.67,53.33,61,30.0,42.5,171,17.74,24.19,4711,A2,前出,達吉  福井,石川,36,52.0,0.0,0,0.16
22,7,3,6.96,0.0,53.3kg,4,3.89,17.11,35.53,5.34,27.59,58.62,73,31.25,51.25,119,36.51,58.73,3306,B1,武田,正紀  埼玉,東京,58,53.3,0.0,0,0.16
22,7,4,6.97,0.0,52.7kg,3,4.17,25.76,33.33,3.24,13.16,15.79,51,22.67,38.67,150,29.03,53.23,5033,B1,藤原,孝斗  愛知,愛知,28,52.7,0.0,0,0.18
22,7,5,6.97,0.5,52.0kg,6,1.35,0.0,0.0,1.67,0.0,0.0,16,56.76,72.97,113,24.19,41.94,5458,B2,田中,大輝  福岡,福岡,19,52.0,,,
22,7,6,6.97,0.0,54.5kg,5,4.49,27.69,41.54,0.0,0.0,0.0,11,37.7,52.46,103,26.15,47.69,5359,B1,佐藤,世那  東京,宮城,20,54.5,1.0,0,0.17
22,8,1,6.97,0.0,52.2kg,1,5.99,42.86,68.83,3.95,25.0,35.0,56,45.71,67.14,156,41.94,48.39,3502,A2,渡邉,英児  静岡,静岡,56,52.2,0.0,0,0.16
22,8,2,6.95,0.0,52.0kg,2,5.97,40.91,56.82,6.0,55.56,55.56,27,38.89,51.39,139,37.7,49.18,4930,A2,佐藤,悠  福井,石川,30,52.0,0.0,0,0.16
22,8,3,6.94,0.0,51.5kg,6,4.31,17.27,40.0,3.74,18.42,28.95,37,32.31,50.77,104,34.38,54.69,5177,B1,松井,貫太  福岡,福岡,30,51.5,0.0,0,0.20
22,8,4,6.98,0.0,52.0kg,3,2.19,1.85,11.11,0.0,0.0,0.0,39,50.0,73.33,102,28.99,39.13,5405,B1,竹内,来  愛知,愛知,22,52.0,0.0,0,0.19
22,8,5,7.03,0.0,52.3kg,4,3.66,15.0,30.0,0.0,0.0,0.0,38,28.38,43.24,160,43.33,63.33,3544,B1,豊田,訓靖  静岡,静岡,57,52.3,0.0,0,0.20
22,8,6,6.97,0.0,51.5kg,5,2.18,0.0,3.57,0.0,0.0,0.0,24,22.41,39.66,167,50.0,62.5,5383,B1,中村,楓  三重,三重,21,51.5,0.0,0,0.17
22,9,1,6.91,0.0,51.5kg,1,5.83,33.33,62.32,4.59,24.14,37.93,58,38.24,51.47,123,46.15,66.15,5023,A2,久永,祥平  東京,神奈川,31,51.5,0.0,0,0.16
22,9,2,6.97,0.0,55.1kg,6,5.98,43.33,56.67,6.26,42.11,63.16,18,21.15,30.77,126,44.26,50.82,4877,A1,鈴谷,一平  兵庫,兵庫,31,55.1,0.0,0,0.14
22,9,3,6.92,0.0,52.0kg,5,4.85,23.88,50.75,4.38,25.0,37.5,65,40.58,60.87,151,18.33,30.0,4303,B1,牧原,崇  愛知,愛知,43,52.0,0.0,0,0.18
22,9,4,6.93,0.0,53.3kg,2,4.98,24.1,51.81,4.42,18.42,36.84,20,27.4,43.84,135,33.33,53.33,4574,A2,東,潤樹  広島,愛媛,37,53.3,0.0,0,0.17
22,9,5,6.93,0.0,52.0kg,3,6.46,50.0,64.29,5.84,47.37,52.63,71,47.37,63.16,137,32.26,48.39,4074,A1,柳沢,一  愛知,愛知,45,52.0,0.0,0,0.13
22,9,6,6.96,0.0,52.8kg,4,3.32,8.33,23.33,0.0,0.0,0.0,75,40.0,64.0,166,28.33,45.0,5379,B1,廣部,大明  滋賀,滋賀,22,52.8,0.0,0,0.20
22,10,1,6.9,0.0,52.0kg,2,6.54,43.52,57.41,7.1,54.84,67.74,14,41.33,65.33,130,38.46,53.85,4832,A1,権藤,俊光  大阪,大阪,39,52.0,0.0,0,0.14
22,10,2,6.94,-0.5,54.4kg,5,5.3,30.23,52.33,4.56,44.44,44.44,50,29.49,46.15,107,24.56,45.61,4180,A2,上野,秀和  福岡,福岡,43,54.4,0.0,0,0.17
22,10,3,6.93,0.0,52.7kg,1,4.81,25.93,48.15,4.07,17.86,35.71,57,37.5,56.25,144,21.88,35.94,4669,B1,井上,茂  福岡,福岡,41,52.7,0.0,0,0.16
22,10,4,6.97,0.0,51.5kg,6,6.57,48.05,71.43,0.0,0.0,0.0,44,28.89,44.44,142,11.67,23.33,4470,A2,平田,健之佑  三重,三重,39,51.5,0.0,0,0.15
22,10,5,6.96,0.0,52.3kg,3,6.51,52.21,65.49,6.25,50.0,65.0,53,25.71,37.14,143,30.77,50.77,3811,A1,石田,章央  静岡,静岡,50,52.3,0.0,0,0.16
22,10,6,6.92,-0.5,53.1kg,4,4.98,30.68,42.05,3.81,19.23,23.08,74,43.28,59.7,109,44.26,60.66,5352,B1,西岡,蒼志  香川,香川,21,53.1,0.0,0,0.16
22,11,1,6.83,0.0,52.8kg,1,7.12,53.93,75.28,4.82,18.18,45.45,59,37.93,52.87,105,44.26,62.3,4335,A1,若林,将  東京,千葉,42,52.8,0.0,0,0.12
22,11,2,6.89,-0.5,51.5kg,3,6.34,53.66,63.41,5.42,21.05,52.63,15,41.56,54.55,108,40.98,60.66,4133,A2,高橋,正男  兵庫,兵庫,46,51.5,0.0,0,0.17
