場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST,級別_num,is_win,展示順位,全国勝率順位,当地勝率順位,モーター順位,ボート順位,平均ST順位,展示平均との差,全国勝率平均との差,当地勝率平均との差,モーター平均との差,ボート平均との差,インコース,F持ち,軽量,展示1位,モーター上位,全国勝率上位,PAMU指数,PAMU指数V2,PAMU順位,AI_1着確率,AI_1着確率%,AI確率,AI確率%
8,1,2,6.78,0.0,47.7kg,2,4.63,23.08,45.05,4.5,12.5,25.0,28,29.27,51.22,70,0.0,0.0,3175,B1,渡辺,千草  東京,神奈川,62,47.7,0.0,0.0,0.16,2,0,4.0,2.0,2.0,4.0,1.0,1.0,0.0133333333333336,0.5,0.8500000000000001,-2.2049999999999983,0.0,0,0,1,0,0,1,157.0,127.6,1.0,0.064,6.4,0.06652806652806653,6.7
8,1,3,6.8,0.0,52.0kg,3,3.81,15.15,30.3,4.0,0.0,33.33,21,37.8,57.32,17,0.0,0.0,3224,B1,栗山,繁洋  佐賀,佐賀,61,52.0,0.0,0.0,0.19,2,0,5.0,5.0,3.0,1.0,1.0,5.0,0.0333333333333332,-0.3199999999999998,0.3500000000000001,6.324999999999999,0.0,0,0,1,0,1,0,120.0,73.0,5.0,0.012,1.2,0.012474012474012475,1.2
8,1,4,6.73,0.0,50.5kg,6,4.47,29.87,37.66,3.74,10.53,31.58,55,26.71,45.89,45,0.0,0.0,5022,B1,伊藤,尚汰  福岡,福岡,31,50.5,0.0,0.0,0.16,2,0,1.0,3.0,4.0,6.0,1.0,1.0,-0.0366666666666661,0.3399999999999998,0.0900000000000003,-4.764999999999997,0.0,0,0,1,1,0,0,137.0,118.9,2.0,0.074,7.4,0.07692307692307693,7.7
8,1,5,6.75,0.0,53.1kg,5,4.3,14.58,36.46,3.73,13.64,31.82,41,31.68,49.07,21,0.0,0.0,4405,B1,南野,利騰  福井,石川,41,53.1,0.0,0.0,0.16,2,0,3.0,4.0,5.0,3.0,1.0,1.0,-0.0166666666666666,0.1699999999999999,0.08,0.2050000000000018,0.0,0,0,0,0,0,0,116.0,101.80000000000001,4.0,0.02,2.0,0.02079002079002079,2.1
8,1,6,6.74,0.0,51.1kg,4,1.2,0.0,0.0,1.0,0.0,0.0,47,36.36,55.76,41,0.0,0.0,5380,B2,野田,亜湖  徳島,徳島,21,51.1,0.0,0.0,0.3,1,0,2.0,6.0,6.0,2.0,1.0,6.0,-0.0266666666666663,-2.93,-2.65,4.885000000000002,0.0,0,0,1,0,1,0,88.0,72.89999999999999,6.0,0.016,1.6,0.016632016632016633,1.7
8,2,1,6.68,0.0,52.0kg,1,5.18,31.87,50.55,5.34,34.0,54.0,10,41.62,55.49,26,0.0,0.0,4731,B1,間野,兼礼  愛知,愛知,37,52.0,1.0,0.0,0.15,2,1,2.0,4.0,3.0,1.0,1.0,1.0,-0.0450000000000008,0.2366666666666663,0.6916666666666664,4.911666666666662,0.0,1,1,1,0,1,0,177.0,100.39999999999999,3.0,0.772,77.2,0.6185897435897436,61.9
8,2,2,6.67,0.0,54.9kg,2,5.28,35.21,47.89,5.0,21.43,42.86,6,32.05,47.44,11,0.0,0.0,4498,B1,宮本,夏樹  長崎,長崎,38,54.9,0.0,0.0,0.17,2,0,1.0,3.0,4.0,6.0,1.0,6.0,-0.0550000000000006,0.3366666666666669,0.3516666666666665,-4.6583333333333385,0.0,0,0,0,1,0,0,142.0,98.10000000000001,4.0,0.182,18.2,0.14583333333333334,14.6
8,2,3,6.75,0.0,46.5kg,5,5.42,32.46,55.26,5.84,36.0,60.0,51,37.13,52.69,63,0.0,0.0,4819,A2,蜂須,瑞生  群馬,群馬,35,46.5,1.0,0.0,0.16,3,0,5.0,2.0,2.0,3.0,1.0,3.0,0.0249999999999994,0.4766666666666665,1.1916666666666664,0.4216666666666668,0.0,0,1,1,0,0,1,133.0,114.6,2.0,0.102,10.2,0.08173076923076923,8.2
8,2,4,6.73,0.0,45.5kg,6,5.81,41.94,60.22,6.0,33.33,66.67,29,35.85,56.6,64,0.0,0.0,4419,B1,原,加央理  埼玉,埼玉,38,45.5,0.0,0.0,0.16,2,0,3.0,1.0,1.0,4.0,1.0,3.0,0.0049999999999998,0.8666666666666663,1.3516666666666666,-0.8583333333333343,0.0,0,0,1,0,0,1,149.0,127.1,1.0,0.124,12.4,0.09935897435897435,9.9
8,2,5,6.78,0.0,56.4kg,4,4.01,18.89,32.22,2.08,0.0,0.0,16,40.46,56.65,62,0.0,0.0,3701,B1,大西,隆洋  香川,愛媛,53,56.4,0.0,0.0,0.16,2,0,6.0,5.0,6.0,2.0,1.0,3.0,0.0549999999999997,-0.9333333333333336,-2.5683333333333334,3.751666666666665,0.0,0,0,0,0,1,0,81.0,86.6,6.0,0.028,2.8,0.022435897435897436,2.2
8,2,6,6.74,0.0,50.0kg,3,3.96,18.18,33.77,3.63,25.0,25.0,24,33.14,46.15,28,0.0,0.0,5377,B1,鳥居塚,嶺王  群馬,群馬,22,50.0,0.0,0.0,0.15,2,0,4.0,6.0,5.0,5.0,1.0,1.0,0.0149999999999996,-0.9833333333333334,-1.0183333333333335,-3.568333333333335,0.0,0,0,1,0,0,0,76.0,89.6,5.0,0.04,4.0,0.032051282051282055,3.2
8,3,1,6.76,0.0,55.8kg,1,6.29,45.11,63.16,6.71,54.17,79.17,17,28.75,45.63,57,0.0,0.0,4261,A1,岡,祐臣  三重,三重,42,55.8,0.0,0.0,0.16,4,1,3.0,1.0,1.0,6.0,1.0,2.0,-0.0016666666666669,1.8183333333333331,2.7533333333333334,-4.528333333333336,0.0,1,0,0,0,0,1,172.0,126.4,1.0,0.5,50.0,0.7309941520467835,73.1
8,3,2,6.76,0.0,53.5kg,4,4.13,22.22,35.19,4.8,30.0,50.0,15,29.22,51.95,36,0.0,0.0,4693,B1,松下,誉士  福岡,福岡,42,53.5,0.0,0.0,0.2,2,0,3.0,3.0,3.0,5.0,1.0,5.0,-0.0016666666666669,-0.3416666666666668,0.8433333333333333,-4.058333333333337,0.0,0,0,0,0,0,0,138.0,85.0,5.0,0.024,2.4,0.03508771929824561,3.5
